strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100011403,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011404,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011507,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011508,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012601,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012603,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012604,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012605,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012607,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012608,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020101,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020102,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020103,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020104,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020105,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020201,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020202,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020203,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020204,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020301,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020302,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020303,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020304,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020305,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020306,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020307,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020308,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020401,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020402,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020403,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020404,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
