model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
ARIMA;Sunspot Numbers;13;4678,846069033789;68,40209111594315;53,71624501009609;inf;39,02;94,49885988235474; ARIMA(0,0,1)(0,0,1)[12] intercept
ARIMA;Sunspot Numbers;14;4682,09335652423;68,42582375480934;53,971405377606914;inf;39,05;139,111554145813; ARIMA(0,0,1)(0,0,1)[12] intercept
ARIMA;Sunspot Numbers;15;4685,267179303649;68,4490115290473;54,150000000000006;inf;39,07;207,6367373466492; ARIMA(0,0,1)(0,0,1)[12] intercept
ARIMA;Sunspot Numbers;16;4683,287750158307;68,43455085085536;53,70073167322725;inf;39,08;296,20552492141724; ARIMA(0,0,1)(0,0,1)[12] intercept
ARIMA;Sunspot Numbers;17;4682,666423229543;68,43001112983646;53,8;inf;39,1;302,4357919692993; ARIMA(0,0,1)(0,0,1)[12] intercept
ARIMA;Sunspot Numbers;18;4688,9554016790025;68,47594761431931;54,30839376307358;inf;39,14;318,482057094574; ARIMA(0,0,1)(0,0,1)[12] intercept
ARIMA;Sunspot Numbers;19;4688,449644501717;68,47225455979755;53,650000000000006;inf;39,18;184,7505867481232; ARIMA(0,0,1)(0,0,1)[12] intercept
ARIMA;Sunspot Numbers;20;4692,897762220905;68,50472802822375;53,88296550084547;inf;39,21;238,3428635597229; ARIMA(0,0,1)(0,0,1)[12] intercept
ARIMA;Sunspot Numbers;24;4724,13166656737;68,73231893779935;54,307844718760194;inf;39,45;143,5735743045807; ARIMA(1,0,0)(1,0,0)[12] intercept
ARIMA;Sunspot Numbers;21;4758,430613302961;68,98137874312864;56,53319277691393;inf;39,56;139,4207534790039; ARIMA(0,0,0)(1,0,1)[12] intercept
ARIMA;Sunspot Numbers;22;4767,46822189749;69,04685526436009;56,6514052230585;inf;39,65;220,1424856185913; ARIMA(0,0,0)(1,0,1)[12] intercept
ARIMA;Sunspot Numbers;23;4777,544771292778;69,11978567163514;56,58881946034369;inf;39,71;211,848646402359; ARIMA(0,0,0)(1,0,1)[12] intercept
ARIMA;Canadian Lynx;2;1649468,7508611828;1284,3164527721283;1141,662921348315;326,4721686645134;42,14;2,3559513092041016; ARIMA(0,0,0)(0,0,0)[12] intercept
ARIMA;Canadian Lynx;6;1436029,458637066;1198,3444657681137;1122,5694689057498;394,56689263300615;43,37;5,186238765716553; ARIMA(0,0,1)(0,0,0)[12] intercept
ARIMA;Canadian Lynx;4;1402223,6676983205;1184,1552548962152;998,7656773992776;290,9322164570204;46,98;7,816110134124756; ARIMA(0,0,0)(0,0,1)[12] intercept
ARIMA;Canadian Lynx;7;2682262,090454084;1637,761304480627;1029,0117220465102;219,906601074276;60,82;9,242992639541626; ARIMA(1,0,0)(0,0,0)[12]          
ARIMA;Canadian Lynx;9;3873688,214285714;1968,1687463949104;1334,5;100,0;100,0;3,161862373352051; ARIMA(0,0,0)(0,0,0)[12]          
ARIMA;Canadian Lynx;19;5530141,25;2351,6252358741176;2123,5;100,0;100,0;13,493112802505491; ARIMA(0,0,0)(0,0,0)[12]          
ARIMA;Canadian Lynx;8;3616219,933333333;1901,63612011692;1132,0;100,0;100,0;2,930082321166992; ARIMA(0,0,0)(0,0,0)[12]          
ARIMA;Canadian Lynx;22;11532816,0;3396,0;3396,0;100,0;100,0;30,30774474143982; ARIMA(0,0,0)(0,0,0)[12]          
ARIMA;Canadian Lynx;21;9296232,5;3048,972367864294;3026,5;100,0;100,0;14,60369873046875; ARIMA(0,0,0)(0,0,0)[12]          
ARIMA;Canadian Lynx;17;3799005,6666666665;1949,1038111569808;1295,0;100,0;100,0;17,560457229614258; ARIMA(0,0,0)(0,0,0)[12]          
ARIMA;Canadian Lynx;18;4511761,8;2124,0908172674726;1590,0;100,0;100,0;17,122668981552124; ARIMA(0,0,0)(0,0,0)[12]          
ARIMA;Canadian Lynx;20;7040188,333333333;2653,335322444816;2657,0;100,0;100,0;12,762892246246338; ARIMA(0,0,0)(0,0,0)[12]          
ARIMA;Canadian Lynx;0;4635415,545454546;2153,0015200771563;1334,5;100,0;100,0;0,0420045852661132; ARIMA(0,0,0)(0,0,0)[12]          
ARIMA;Sunspot Numbers;0;11867,698191489362;108,93896544161488;69,80000000000001;;;0,3190371990203857; ARIMA(0,0,0)(0,0,0)[12]          
