Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
sunspot;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};0;339193.0564356461;582.4028300374631;488.0014278146191;74.0078716584455;70.01;3.690577507019043
sunspot;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};1;6877.389329156978;82.93002670418585;30.342005646791904;8.688594071611618;4.46;0.8202567100524902
sunspot;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};2;17673.957749949324;132.94343816055505;50.30591827261219;12.02645204625108;6.65;0.8107502460479736
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};3;72528.65295385546;269.31144230027706;121.52428382202996;24.877536170852643;15.28;0.8481729030609131
sunspot;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};4;43726.44641934089;209.1086952265278;70.12628901986525;16.83220246267754;9.84;0.9096541404724121
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'};5;8645.371068545257;92.98048756887252;43.20539634462831;10.331326142387603;5.19;0.9424219131469727
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'};6;10697.350330110388;103.42799587205772;38.8710519495699;11.680368159805155;5.58;1.0039253234863281
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'};7;8308.01868646503;91.14833342670084;40.02953540959868;9.945202946506686;5.04;0.9353604316711426
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'};8;7777.813939597034;88.19191538682576;37.671216853634405;9.329270681417205;4.76;0.9913380146026611
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};9;131815.65962675164;363.0642637698616;177.4550470497809;33.185798840275574;22.55;1.0165858268737793
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};10;143611.16057302922;378.9606319567103;188.65627564671507;35.09411935218409;24.3;0.9910917282104492
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};11;22437.85285712757;149.79269961225603;36.46903829913208;11.942171130106361;6.49;0.9596166610717773
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};12;240151.55439713784;490.05260370406955;277.7575483442547;48.95938869475408;37.3;0.9572970867156982
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};13;108942.33528480372;330.0641381380348;146.729784624475;28.789150195058404;18.85;0.8547241687774658
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};14;197805.34363277987;444.75312661383265;246.55955489620058;43.43361298830109;32.05;0.9441211223602295
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};15;152746.89374599393;390.8284710022978;203.38324536413512;36.69960701438684;25.59;0.9802062511444092
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};16;161658.98689004348;402.0683858375879;200.32989378826113;36.8816882631057;26.09;0.9519608020782471
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};17;395988.50110993936;629.2761723678558;455.41061482521695;72.6983676509796;62.04;1.0355322360992432
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};18;92856.73413106252;304.7240294611873;139.98603046364315;27.94664823314164;17.77;1.086416244506836
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};19;273199.9631191633;522.6853385347281;330.28110313961554;54.04795924741946;42.53;1.018017053604126
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};20;35572.642975323986;188.6071127378922;31.740373166213203;11.566626051434737;6.59;1.0720090866088867
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};21;56952.87883359899;238.64802289899447;40.90290155733703;14.794101307368054;8.97;1.1499979496002197
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};22;188225.2392513555;433.8493278217168;252.45975438265583;43.4944902838133;31.74;1.0859780311584473
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};23;250061.60050484352;500.0615967106888;294.5278401761164;50.379370141861244;38.91;1.159813642501831
sunspot;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};24;111761.89159061921;334.3080788593348;138.39541849206654;28.063176247024185;18.42;1.1648688316345215
