Dataset;Best Params;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};0;12371.080236837606;111.22535788585985;77.49;58.81243004524694;42.36;11.908713340759277
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};1;14.404379321618224;3.7953101746258135;1.7980763037671466;1.5490572514746;0.78;10.104286670684814
IBM;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};2;12.140780980717649;3.4843623492279976;1.5480972950052632;1.3307177240147352;0.67;10.417391061782837
IBM;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};3;14.516036485822996;3.80999166479705;2.3887214594767556;1.819858358692685;0.92;10.923994541168213
IBM;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};4;13.425249329885911;3.6640482160973145;2.1402681023322927;1.6621336369161626;0.84;11.023236751556396
IBM;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};5;10.476924852789121;3.2368078183279776;1.113096188821558;1.1391454917830088;0.57;11.480037450790405
IBM;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};6;80.82075138467494;8.990036228218157;7.463155632995921;5.188221523311346;2.66;11.764798402786255
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};7;35.83105324722701;5.985904547119592;2.392345230020311;2.172826390574986;1.08;11.878418445587158
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};8;23.115042318356085;4.807810553501051;1.7046895901175958;1.6512416938271663;0.82;11.886270761489868
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};9;46.76343732276503;6.838379729348541;2.5894482669951913;2.405956164931168;1.2;12.366394281387329
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};10;22.856013375675854;4.7807963118790004;1.980172359789826;1.7553081168804312;0.88;12.678743600845337
IBM;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};11;55.76008611124256;7.467267646953775;2.910447127626284;2.6547457498703233;1.32;12.946977615356445
IBM;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-06, 'kernel': 'rbf'};12;964.8216737659295;31.061578739109986;28.73818783487789;19.423504807784823;10.83;13.167685747146606
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};13;81.64965766507942;9.036020012432433;2.247045954788206;2.6123030127651834;1.28;13.303180456161499
IBM;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};14;24.59691453741292;4.959527652651301;2.827929112807361;2.19706716957807;1.11;13.782409191131592
IBM;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'};15;1454.536081294572;38.13838068526995;31.576019562241626;21.99482024052992;12.23;15.09796142578125
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};16;26.616097388898563;5.159079122178547;3.5280343242373817;2.461646778216528;1.25;15.674615383148193
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};17;49.184175880869745;7.013143081448556;3.3415317898302703;2.7321598378079215;1.37;14.78398609161377
IBM;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'};18;236.4195328534914;15.375940064057593;4.200212914994097;4.596792653992807;2.24;14.978766202926636
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'};19;33.653398183782635;5.801154900860917;3.353710220081041;2.5466926965907954;1.28;14.470237970352173
IBM;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'};20;15.021778022184535;3.8757938570291035;1.3526343891147974;1.3364294978471554;0.67;15.26434063911438
IBM;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};21;36.08625053613414;6.007183244760737;4.241680906597189;3.02289631455967;1.53;15.74948763847351
IBM;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'};22;36.67554985620032;6.056034169008653;4.735645469950349;3.2560440365763483;1.65;15.877011775970459
IBM;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'};23;11.59356207564551;3.404932022176876;1.3645491552262001;1.2509608798856966;0.63;16.1085205078125
IBM;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'};24;13.753384223438298;3.7085555440681075;1.8733179387937184;1.5318411597265795;0.77;16.850889682769775
