Dataset;Model;n_time_steps;MSE;RMSE;MAE;MAPE (%);sMAPE (%);Duration (s)
IBM Stock prices;ARIMA;7;443,2;21,1;19,2;16,0;8,8;37,0
IBM Stock prices;ARIMA;8;444,0;21,1;19,3;16,0;8,8;30,4
IBM Stock prices;ARIMA;9;444,5;21,1;19,3;16,0;8,8;45,3
IBM Stock prices;ARIMA;10;445,0;21,1;19,3;16,0;8,8;50,7
IBM Stock prices;ARIMA;11;445,3;21,1;19,3;16,0;8,8;60,6
IBM Stock prices;ARIMA;12;445,6;21,1;19,3;16,0;8,8;56,3
IBM Stock prices;ARIMA;13;445,8;21,1;19,3;16,0;8,8;69,4
IBM Stock prices;ARIMA;14;445,8;21,1;19,2;16,0;8,8;73,1
IBM Stock prices;ARIMA;19;448,3;21,2;19,2;16,1;8,8;90,7
IBM Stock prices;ARIMA;20;449,2;21,2;19,3;16,1;8,8;247,1
IBM Stock prices;ARIMA;21;450,0;21,2;19,3;16,1;8,8;199,1
IBM Stock prices;ARIMA;3;439,0;21,0;19,0;15,9;8,8;23,4
IBM Stock prices;ARIMA;4;440,1;21,0;19,1;16,0;8,8;29,0
IBM Stock prices;ARIMA;5;441,3;21,0;19,1;16,0;8,8;34,7
IBM Stock prices;ARIMA;6;442,3;21,0;19,2;16,0;8,8;28,5
IBM Stock prices;ARIMA;7;443,2;21,1;19,2;16,0;8,8;36,7
IBM Stock prices;ARIMA;8;444,0;21,1;19,3;16,0;8,8;41,9
IBM Stock prices;ARIMA;9;444,5;21,1;19,3;16,0;8,8;44,6
IBM Stock prices;ARIMA;10;445,0;21,1;19,3;16,0;8,8;65,0
IBM Stock prices;ARIMA;11;445,3;21,1;19,3;16,0;8,8;61,9
IBM Stock prices;ARIMA;12;445,6;21,1;19,3;16,0;8,8;60,1
IBM Stock prices;ARIMA;13;445,8;21,1;19,3;16,0;8,8;63,7
IBM Stock prices;ARIMA;14;445,8;21,1;19,2;16,0;8,8;62,3
IBM Stock prices;ARIMA;15;445,9;21,1;19,2;16,0;8,8;62,6
IBM Stock prices;LSTM;0;451,6;21,3;19,3;16,2;8,9;103,2
IBM Stock prices;LSTM;0;452,4;21,3;19,3;16,2;8,9;94,8
IBM Stock prices;LSTM;0;452,1;21,3;19,3;16,2;8,9;224,3
IBM Stock prices;LSTM;0;451,7;21,3;19,3;16,2;8,9;104,8
IBM Stock prices;LSTM;0;452,4;21,3;19,3;16,2;8,9;335,0
IBM Stock prices;LSTM;0;455,1;21,3;19,4;16,3;9,0;352,0
IBM Stock prices;LSTM;0;454,9;21,3;19,4;16,3;9,0;397,6
IBM Stock prices;LSTM;0;454,9;21,3;19,4;16,3;9,0;115,5
IBM Stock prices;LSTM;0;455,1;21,3;19,4;16,3;9,0;71,5
IBM Stock prices;LSTM;0;454,7;21,3;19,4;16,3;9,0;116,7
IBM Stock prices;LSTM;0;457,3;21,4;19,5;16,3;9,0;57,3
IBM Stock prices;LSTM;0;457,3;21,4;19,5;16,3;9,0;55,8
IBM Stock prices;LSTM;0;457,4;21,4;19,5;16,3;9,0;56,9
IBM Stock prices;LSTM;0;457,4;21,4;19,5;16,3;9,0;70,6
IBM Stock prices;LSTM;0;457,3;21,4;19,5;16,3;9,0;69,1
IBM Stock prices;SVR;0;468,5;21,6;19,7;16,6;9,1;10,3
IBM Stock prices;ARIMA;0;14414,4;120,1;119,3;100,0;100,0;0,4
Sunspot Numbers;MLP;1;6241,1;79,0;29,4;8,7;4,4;22,1
Sunspot Numbers;SVR;1;7038,7;83,9;31,4;8,7;4,5;14,6
Sunspot Numbers;MLP;15;6533,1;80,8;35,3;9,1;4,7;31,8
Sunspot Numbers;MLP;24;7002,2;83,7;31,9;9,2;4,7;29,9
Sunspot Numbers;SVR;8;7777,8;88,2;37,7;9,3;4,8;5,7
Sunspot Numbers;MLP;19;7867,8;88,7;39,8;10,0;4,9;9,9
Sunspot Numbers;SVR;7;8308,0;91,1;40,0;9,9;5,0;6,0
Sunspot Numbers;SVR;5;8645,4;93,0;43,2;10,3;5,2;10,1
Sunspot Numbers;SVR;6;10697,4;103,4;38,9;11,7;5,6;5,1
Sunspot Numbers;MLP;11;9396,4;96,9;47,1;11,2;5,8;37,1
Sunspot Numbers;MLP;14;11335,1;106,5;53,4;11,7;6,1;26,8
Sunspot Numbers;SVR;11;18100,2;134,5;37,7;11,6;6,1;6,3
Sunspot Numbers;MLP;4;12106,2;110,0;55,3;12,6;6,3;38,6
Sunspot Numbers;MLP;5;12500,3;111,8;58,4;12,8;6,4;27,3
Sunspot Numbers;MLP;3;13506,4;116,2;52,1;12,9;6,5;39,6
Sunspot Numbers;MLP;12;13142,9;114,6;54,3;13,7;6,5;24,3
Sunspot Numbers;MLP;8;13043,0;114,2;59,9;13,1;6,6;22,2
Sunspot Numbers;MLP;10;12452,3;111,6;55,1;12,9;6,6;43,7
Sunspot Numbers;SVR;2;17644,6;132,8;50,3;12,0;6,6;6,6
Sunspot Numbers;MLP;22;12705,3;112,7;60,1;13,1;6,7;32,3
Sunspot Numbers;MLP;17;13534,5;116,3;61,0;13,3;6,8;27,4
Sunspot Numbers;MLP;7;14661,6;121,1;62,8;13,9;6,9;7,5
Sunspot Numbers;MLP;16;14329,8;119,7;51,6;13,2;7,1;36,9
Sunspot Numbers;MLP;6;15607,7;124,9;66,8;14,4;7,2;4,6
Sunspot Numbers;MLP;9;18283,4;135,2;64,2;14,4;7,8;20,3
Sunspot Numbers;MLP;23;25121,6;158,5;88,9;18,6;9,0;26,3
Sunspot Numbers;SVR;4;41482,4;203,7;67,4;16,3;9,5;11,5
Sunspot Numbers;SVR;9;71020,3;266,5;99,8;21,5;13,3;5,8
Sunspot Numbers;SVR;16;81935,0;286,2;94,0;21,6;13,6;3,8
Sunspot Numbers;SVR;13;76847,7;277,2;101,5;22,0;13,8;5,5
Sunspot Numbers;MLP;13;81497,6;285,5;222,3;37,2;14,7;27,4
Sunspot Numbers;SVR;15;85120,7;291,8;115,6;24,3;15,3;6,0
Sunspot Numbers;SVR;3;79581,1;282,1;138,3;27,3;17,0;8,1
Sunspot Numbers;SVR;14;131341,4;362,4;173,1;32,6;22,1;5,5
Sunspot Numbers;SVR;12;144605,2;380,3;187,1;35,5;24,5;6,3
Sunspot Numbers;SVR;10;142505,7;377,5;206,4;37,4;25,7;6,1
Sunspot Numbers;SVR;17;204430,0;452,1;309,8;51,8;39,0;3,9
Sunspot Numbers;MLP;21;323774,0;569,0;469,2;72,1;66,1;8,8
Sunspot Numbers;MLP;2;332631,5;576,7;481,0;73,0;68,3;35,0
Sunspot Numbers;MLP;20;336820,6;580,4;483,3;73,7;69,2;12,2
Sunspot Numbers;SVR;0;339193,1;582,4;488,0;74,0;70,0;47,8
Sunspot Numbers;MLP;18;341060,1;584,0;487,8;74,4;70,4;26,2
Sunspot Numbers;MLP;0;349153,0;590,9;498,4;82,9;77,3;42,6
Sunspot Numbers;ARIMA;0;11867,7;108,9;69,8;;;0,8
TSLA Stock prices;SVR;1;72,2;8,5;6,6;3,3;1,6;1,2
TSLA Stock prices;SVR;2;70,5;8,4;6,4;3,2;1,6;1,3
TSLA Stock prices;SVR;3;73,0;8,5;6,3;3,3;1,6;1,3
TSLA Stock prices;SVR;4;71,7;8,5;6,2;3,3;1,6;1,2
TSLA Stock prices;SVR;7;71,2;8,4;6,1;3,2;1,6;1,3
TSLA Stock prices;SVR;8;73,2;8,6;6,3;3,3;1,6;1,1
